treatment in phase i,inoculum,root_mass,leaf_mass
P,5um,0.341,0.362
P,5um,0.356,0.378
P,5um,0.425,0.423
P,5um,0.404,0.392
P,5um,0.463,0.468
P,5um,0.393,0.454
P,5um,0.444,0.385
P,0.2um,0.212,0.419
P,0.2um,0.455,0.485
P,0.2um,0.244,0.434
P,0.2um,0.325,0.424
P,0.2um,0.427,0.5355
P,0.2um,0.314,0.3856
P,0.2um,0.322,0.402
P+B,whole soil,0.011,0.01
P+B,whole soil,0.044,0.043
P+B,whole soil,0.039,0.03
P+B,whole soil,0.087,0.081
P+B,whole soil,0.079,0.02
P+B,whole soil,0.052,0.036
P+B,whole soil,0.092,0.064
P+B,whole soil,0.043,0.031
P+B,whole soil,0.023,0.024
P+B,whole soil,0.065,0.057
P+B,1000um,0.256,0.261
P+B,1000um,0.253,0.253
P+B,1000um,0.13,0.118
P+B,1000um,0.307,0.4383
P+B,1000um,0.296,0.295
P+B,1000um,0.171,0.186
P+B,1000um,0.178,0.186
P+B,1000um,0.206,0.162
P+B,1000um,0.269,0.2074
P+B,1000um,0.323,0.314
P+B,20um,0.214,0.364
P+B,20um,0.371,0.336
P+B,20um,0.311,0.281
P+B,20um,0.392,0.413
P+B,20um,0.408,0.477
P+B,20um,0.294,0.366
P+B,20um,0.446,0.4913
P+B,20um,0.235,0.254
P+B,20um,0.343,0.344
P+B,20um,0.222,0.2046
P+B,5um,0.395,0.376
P+B,5um,0.427,0.4302
P+B,5um,0.42,0.415
P+B,5um,0.309,0.343
P+B,5um,0.322,0.38
P+B,5um,0.364,0.458
P+B,5um,0.176,0.323
P+B,5um,0.377,0.374
P+B,5um,0.345,0.438
P+B,5um,0.231,0.388
P+B,0.2um,0.307,0.421
P+B,0.2um,0.409,0.502
P+B,0.2um,0.433,0.509
P+B,0.2um,0.477,0.4061
P+B,0.2um,0.368,0.472
P+B,0.2um,0.332,0.354
P+B,0.2um,0.226,0.354
P+A,whole soil,0.072,0.046
P+A,whole soil,0.043,0.037
P+A,whole soil,0.066,0.047
P+A,whole soil,0.057,0.044
P+A,whole soil,0.043,0.032
P+A,whole soil,0.028,0.028
P+A,whole soil,0.049,0.037
P+A,whole soil,0.006,0.009
P+A,1000um,0.162,0.219
P+A,1000um,0.176,0.1529
P+A,1000um,0.21,0.202
P+A,1000um,0.091,0.168
P+A,1000um,0.278,0.293
P+A,1000um,0.332,0.346
P+A,1000um,0.337,0.239
P+A,1000um,0.262,0.288
P+A,1000um,0.335,0.213
P+A,1000um,0.251,0.216
P+A,20um,0.32,0.243
P+A,20um,0.291,0.298
P+A,20um,0.352,0.388
P+A,20um,0.195,0.261
P+A,20um,0.295,0.273
P+A,20um,0.379,0.431
P+A,20um,0.316,0.34
P+A,20um,0.235,0.221
P+A,20um,0.268,0.271
P+A,20um,0.26,0.301
P+A,5um,0.307,0.3573
P+A,5um,0.267,0.442
P+A,5um,0.402,0.388
P+A,5um,0.341,0.487
P+A,5um,0.286,0.521
P+A,5um,0.379,0.568
P+A,5um,0.323,0.475
P+A,5um,0.479,0.635
P+A,5um,0.333,0.428
P+A,5um,0.326,0.356
P+A,0.2um,0.274,0.38
P+A,0.2um,0.336,0.301
P+A,0.2um,0.396,0.427
P+A,0.2um,0.449,0.431
P+A,0.2um,0.364,0.502
P+A,0.2um,0.342,0.474
P+A,0.2um,0.314,0.5
NA,Sterile,0.605,0.462
NA,Sterile,0.492,0.435
NA,Sterile,0.45,0.5073
NA,Sterile,0.551,0.454
NA,Sterile,0.435,0.383
NA,Sterile,0.509,0.623
NA,Sterile,0.455,0.5388
NA,Sterile,0.43,0.372
NA,Sterile,0.478,0.428
NA,Sterile,0.473,0.4063
